modelo,variavel,h,q16,q50,q84
Restrições de sinal (Fig. 6),PIB real,0,-0.00965677320182274,0.14062206960432902,0.27392737346555607
Restrições de sinal (Fig. 6),PIB real,1,0.0049335518034774924,0.15511854483272214,0.2830316704906735
Restrições de sinal (Fig. 6),PIB real,2,0.01809305708088046,0.15692561338399777,0.2797458855855504
Restrições de sinal (Fig. 6),PIB real,3,0.012936023911615847,0.1476123343338541,0.2724035736521105
Restrições de sinal (Fig. 6),PIB real,4,-0.007852211047428441,0.1337496363530065,0.25339943575929685
Restrições de sinal (Fig. 6),PIB real,5,-0.026360898322136794,0.11087306731533711,0.23638411371714374
Restrições de sinal (Fig. 6),PIB real,6,-0.04564320778871344,0.09683236781749285,0.22997725841995315
Restrições de sinal (Fig. 6),PIB real,7,-0.0604753611353022,0.08240252269002005,0.2259249148641414
Restrições de sinal (Fig. 6),PIB real,8,-0.07512553124816275,0.07276710514924399,0.21776304197230462
Restrições de sinal (Fig. 6),PIB real,9,-0.07605093811484104,0.0666136181109779,0.21805815524974306
Restrições de sinal (Fig. 6),PIB real,10,-0.07181555190065202,0.07451544273156929,0.226240752123631
Restrições de sinal (Fig. 6),PIB real,11,-0.07174055912350874,0.07289368330619458,0.22123812104378865
Restrições de sinal (Fig. 6),PIB real,12,-0.07979240875368228,0.06595735076147033,0.21876537893684483
Restrições de sinal (Fig. 6),PIB real,13,-0.08883320335659592,0.058962829803257,0.21406364877946452
Restrições de sinal (Fig. 6),PIB real,14,-0.10007655608047,0.048847292321469574,0.20960161707755554
Restrições de sinal (Fig. 6),PIB real,15,-0.11147731035669589,0.045718864389589504,0.2006285200466505
Restrições de sinal (Fig. 6),PIB real,16,-0.12129429975957846,0.03875115912080403,0.19644167897341655
Restrições de sinal (Fig. 6),PIB real,17,-0.12665101709078697,0.0359942338975568,0.19239200487431254
Restrições de sinal (Fig. 6),PIB real,18,-0.1285445645754363,0.033301890238411236,0.19697206250220956
Restrições de sinal (Fig. 6),PIB real,19,-0.1289066708602089,0.037643128533904405,0.19926037032393587
Restrições de sinal (Fig. 6),PIB real,20,-0.12742912832697237,0.03520703624966457,0.19928722295641335
Restrições de sinal (Fig. 6),PIB real,21,-0.13357855326358262,0.036180940302148225,0.19850608228809108
Restrições de sinal (Fig. 6),PIB real,22,-0.1337820879171935,0.03254350427157025,0.20012878250505092
Restrições de sinal (Fig. 6),PIB real,23,-0.13903713526675715,0.031631085719666954,0.19565390128023108
Restrições de sinal (Fig. 6),PIB real,24,-0.14228985584004722,0.02944469958042987,0.19875305154523432
Restrições de sinal (Fig. 6),PIB real,25,-0.14252776167467085,0.02901393329351081,0.2008356135803249
Restrições de sinal (Fig. 6),PIB real,26,-0.14416518681351434,0.02488843176982655,0.2039569930285282
Restrições de sinal (Fig. 6),PIB real,27,-0.14190950527693086,0.02437672116422958,0.2055400132713068
Restrições de sinal (Fig. 6),PIB real,28,-0.1437095616624411,0.025465368628275337,0.20602323397186995
Restrições de sinal (Fig. 6),PIB real,29,-0.14682890668735893,0.026772937832930135,0.20772924086115294
Restrições de sinal (Fig. 6),PIB real,30,-0.14867283722909935,0.026777344073224563,0.2046113191700311
Restrições de sinal (Fig. 6),PIB real,31,-0.14828299034485,0.028990464749798328,0.20534095225254678
Restrições de sinal (Fig. 6),PIB real,32,-0.14780365192813597,0.029938085217999375,0.2044210345037687
Restrições de sinal (Fig. 6),PIB real,33,-0.14736066406892456,0.02932698419472092,0.20538012547838919
