modelo,variavel,h,q16,q50,q84
Restrições de sinal (baseline),PIB real,0,-0.10061884103969165,0.034241668293192466,0.14059313614112728
Restrições de sinal (baseline),PIB real,1,-0.09909812455164665,0.01781249750954747,0.11931530181168368
Restrições de sinal (baseline),PIB real,2,-0.09220671905297886,0.026479109433641696,0.12624551737218279
Restrições de sinal (baseline),PIB real,3,-0.09290954340660151,0.02654015252447997,0.13818014270214177
Restrições de sinal (baseline),PIB real,4,-0.09167398229068623,0.0301075760233587,0.1457181585786386
Restrições de sinal (baseline),PIB real,5,-0.08752135343952712,0.04105376903083173,0.16461146700540738
Restrições de sinal (baseline),PIB real,6,-0.08722285630642863,0.051195542849773984,0.18619576058172219
Restrições de sinal (baseline),PIB real,7,-0.08010388328280685,0.06307729227724417,0.20317386179942806
Restrições de sinal (baseline),PIB real,8,-0.07292393325952981,0.0774140297605037,0.2240283734329586
Restrições de sinal (baseline),PIB real,9,-0.07190300261279255,0.08798331295032814,0.239058787770665
Restrições de sinal (baseline),PIB real,10,-0.06543870723804648,0.099537333786823,0.25167347792958766
Restrições de sinal (baseline),PIB real,11,-0.06558902626651597,0.10954397382214326,0.2603182902432519
Restrições de sinal (baseline),PIB real,12,-0.06823155612723296,0.11136016916260212,0.26400750859735084
Restrições de sinal (baseline),PIB real,13,-0.06992713828268533,0.11303465230808753,0.2669655007504161
Restrições de sinal (baseline),PIB real,14,-0.0714275165184402,0.11359099427526867,0.26744219120022894
Restrições de sinal (baseline),PIB real,15,-0.0738176033089375,0.11175299898497938,0.2643374238982553
Restrições de sinal (baseline),PIB real,16,-0.07395820356008571,0.11339067825621596,0.2578744690535008
Restrições de sinal (baseline),PIB real,17,-0.07323986795432089,0.10685240014654208,0.2561807143873178
Restrições de sinal (baseline),PIB real,18,-0.0751855862116676,0.1034232318706677,0.2514095578885986
Restrições de sinal (baseline),PIB real,19,-0.07593919088706129,0.09809203596040651,0.25132988962982106
Restrições de sinal (baseline),PIB real,20,-0.0800613240059888,0.09459453877212054,0.24655167922781931
